"","BRCA","DLBC","PRAD","UCS","SKCMprimary","KICH","HNSC","CESC","BLCA","UCEC","LUSC","OV","CHOL","THYM","PAAD","PCPG","LAML","SARC","LUAD","LIHC","THCA","ESCA","STAD","KIRP","KIRC","MESO","LGG","SKCMmets","GBM","UVM","READ","COAD","ACC","TGCT"
"Adipocytes",0.140371270466962,0.112356580619092,0.119587647699988,0.14266911297986,0.0184219468153495,0.0389280629603002,-0.187043406781233,-0.0231332098672481,-0.0373194230712594,0.0483293767347285,-0.00518678120656779,-0.135104907016984,0.00875160875160875,-0.246349179731933,0.287767760274397,0.16406764846226,0.0959401164929362,0.260655947654892,0.145917479130982,0.245823842679549,-0.311471825124354,-0.0110425901796189,0.0813267613488686,0.0485414901331135,-0.0744726224146293,0.306409254979431,0.00697485835393944,0.00227252338855234,0.00508327407974621,0.110712499649766,-0.0387249963703771,-0.0358037126329701,-0.136916442892368,0.315208159635461
"Chondrocytes",0.178137037895184,0.236564250203282,0.0939518789177527,0.136144367446883,0.334027969770173,-0.0630033159049027,-0.107027047253054,-0.145656546555289,-0.085344134019039,-0.0294357302349993,-0.0792161224730836,-0.167780997779089,0.0736985454934619,-0.150673931445551,0.0380193059188324,-0.0523806539615137,-0.0613101960258361,0.283344980039161,0.0953466423074955,0.0281745222558922,-0.144537204702223,0.0168939160011894,-0.0356384012399921,-0.193931537639544,-0.317934579454341,-0.0210323249825263,0.0177194045359482,0.0851227999057185,0.103105492653526,0.102411493170003,-0.13805007049608,-0.0999504471970015,0.0963666147265287,0.229028397727264
"Endothelial cells",0.0511262073557087,0.300761119298474,0.107508937591882,-0.064799466849291,0.128710447369545,0.0976190736408104,-0.156270853377797,-0.0542320066857117,-0.1914655864818,0.0470712568940888,-0.0606093777850491,-0.0213958255443894,-0.0262565159176819,-0.130266343825666,0.148984608992227,0.0449033274375823,0.156432597623122,0.109710597003431,0.0573225850794822,0.182735049668244,-0.101157548908725,0.0613786289930532,-0.0203634595263749,-0.168411867383873,0.0342631585957773,0.0011616382525672,0.128190757208473,-0.00994230401182105,0.056377165766433,0.0124326351681822,-0.0597892285646047,-0.0860773351167905,-0.123515092502434,0.475989426207232
"Fibroblasts",0.0449799027288273,0.112928409618611,0.0140106891417041,-0.0533160170278977,-0.0676115825588407,0.00945894317412943,-0.190668323881488,-0.125164417493029,-0.0428719147144748,-0.153559294344077,-0.0892934288992391,-0.175276509398528,-0.178364492869152,-0.267495763647351,0.0693274592055041,0.0452079444440911,0.137247900838183,0.317017140704476,0.0719468443240779,0.0133861689525559,-0.0139395271630523,-0.0749388657032552,-0.0826468047723077,-0.150100020218635,-0.420993782259635,0.228823847328867,0.0468567889426506,0.0700118463479158,-0.0307708441130675,-0.0041120054393837,-0.0736668642065435,-0.106422398637079,-0.0307757866801026,0.28365524743409
"Lymphatic endothelial cells",0.0478796609170533,0.323922904467995,0.123506141579413,-0.148609716093584,0.173035168376782,0.103759875004828,-0.165878931411678,-0.11698978950964,-0.180638218531573,-0.0130326999854024,-0.0223858640903769,0.00101483875611574,-0.118929680627608,0.0501424298532973,0.127379485822787,0.0704767117891229,-0.00946372577483888,0.137050243681981,0.0942005996779409,0.175549674550932,-0.129012180395608,-0.00516266726669053,-0.0607893354323294,-0.189688197766039,0.0421064348819693,0.00583038099568338,0.122037183531468,-0.0404311806920773,0.0609023774957302,-0.0437425153157887,-0.128145970190992,-0.182868235734383,-0.202190847127556,0.426738821450168
"Mesenchymal stem cells",-0.250369125729248,0.00230115623028672,-0.166220010760109,-0.217741246464574,-0.049152958272436,-0.453916673067668,-0.218129864519458,-0.140497954023185,-0.160587907412621,-0.17305636059665,-0.188939093923706,-0.196196446235947,-0.120978120978121,0.046474861130893,-0.0153563823341009,0.145637618453691,-0.158084329795644,-0.28326401162751,-0.129616462747214,-0.0624252679573196,-0.0635501870721082,-0.461016218081435,-0.203418968598073,-0.00376664295560405,-0.213192890890277,-0.00297492723218428,-0.131115104491437,-0.13808748162319,-0.109910693950709,-0.0419892198741735,-0.082669572486267,-0.209618146172003,-0.311441090555015,-0.146861517755002
"Microvascular endothelial cells",0.0376644028033248,0.172356601648475,0.0604583956762281,-0.105264956696106,0.0579426029694644,0.0335449469529089,-0.119975423901696,-0.0651295500559547,-0.247591977373931,-0.050124607343896,-0.0590547033423193,0.00309432708331877,-0.0754182754182754,0.0790414470873095,0.0749467633870605,0.0630238380004131,-0.0168181839481907,0.0477405347631876,0.0536383982420376,0.0766120909504655,-0.0899366135844676,0.0320364619277663,-0.0394621657712255,-0.223226091010292,0.0134698924578859,0.0432261648943094,0.0768974652082048,-0.0304111734825162,0.00270692423686056,-0.0574478209339948,-0.0687723907332219,-0.162147339298075,-0.255793573515093,0.340709244646053
"Myocytes",-0.0874478968135663,-0.147420447207134,-0.291009330490289,-0.0240263845965462,0.0113424714071528,0.260823007495793,-0.0736783334162696,-0.139439666472068,-0.204752205835844,-0.140558904844945,-0.0125519746915016,-0.171799683299119,0.167546718572394,-0.130949657105078,0.0191657128598959,0.228343058003204,0.141042722803185,0.112807336896823,0.11523143930078,0.0881479323665094,-0.123950367339959,-0.0982769119746882,-0.197820818585667,0.100743523041135,0.107013531181709,0.181942771835017,0.119594687628447,0.0561431747351519,-0.0559661268698436,0.162226109129864,-0.0627932816842043,0.0359725981964431,-0.10014605647517,-0.00489236788911887
"Osteoblast",-0.220841646341413,-0.111487524194414,-0.193415052963533,-0.0326174710818022,-0.289819842834771,-0.051858084116777,0.0425343112750287,-0.146586535512718,-0.0813920345049579,-0.0269924126016539,-0.0271993879445003,-0.00103423568247837,0.0777398804621561,-0.488826092924706,-0.166207494226048,-0.176181797914444,0.0749868427999542,0.10861838450473,-0.00704747942921914,-0.045207132000447,0.0823605129227871,0.157119785819313,-0.0102874632818071,0.188337808803992,0.397160227089032,0.0468757108120764,0.0195540990644072,0.0463216101655113,-0.016382852292392,-0.0391039271118699,0.0175019333800173,0.181865890900828,0.117515320811091,0.0658852852085561
"Pericytes",0.142831709240572,0.0603137812451422,0.08551729476765,0.0929127427709236,0.0766682734868591,-0.0378579507578873,-0.161673756995401,-0.0485187532542585,-0.11995340897343,-0.058362871079491,-0.126686532083227,-0.120628097772672,-0.248453814544185,-0.0384625123060441,-0.124008347295333,-0.223997388265148,-0.173962066907842,0.162759968222696,-0.105728179063451,0.184881948306257,-0.0424263322468871,-0.0856661528118533,-0.124661260911657,-0.222377826240446,0.0960456043467324,-0.0276252524887474,-0.0105247563147305,0.000110442408299843,-0.122276770054172,-0.241481312477951,-0.0923311852915993,-0.108168095643556,-0.262853885479068,0.271502413583518
"Preadipocytes",0.101365209957669,0.0278907658937074,-0.179779856446923,-0.11525522769897,0.203317770905279,0.123746250243824,-0.000656442468304656,-0.13183027133353,-0.0455850435415351,-0.0289686253253357,-0.0450119187062241,0.0350564211262127,0.0563165656782491,-0.055201053552725,0.0469739355742004,-0.0315536546388048,0.076798143169412,0.0713723960950176,0.036677311444887,0.244157824866891,0.213887942013908,0.15926374542175,0.0222889704418432,0.0518399615341566,-0.072580865882272,0.136144759049828,0.0629562333867321,0.0844547805631787,-0.0554352233647499,0.127647701705392,0.0800872281290901,-0.0736082162445898,0.135984557115793,-0.341465363729941
"Skeletal muscle",0.0750312765530089,0.0774521608211533,-0.092150571140233,-0.127936461906466,0.0883138556882126,-0.0820292642949843,-0.0672274776496902,0.0238704240235184,-0.0384609648466132,-0.120949478639122,-0.0284341716567297,-0.121598366010954,-0.133602314685907,-0.0521838097092905,0.129113292739672,0.0345938472531558,0.0974377060489394,-0.00615539421481363,-0.0896297733922341,0.0849633047320966,0.024576133606549,-0.180069365957812,-0.162378687241122,0.000840110941479418,-0.17106753136097,0.00529374404682546,0.0159281520565526,-0.100469100523072,0.070644398242522,0.263247652615518,0.00630448420444044,-0.0370970329043239,-0.0182761765394694,0.105776100874761
"Smooth muscle",-0.245884893044228,-0.0348144373867801,-0.0511003511121818,-0.0754968471888628,-0.139248089270359,0.186890153968258,0.0605016558147825,-0.185707286798677,0.081587621113894,0.0215843772033933,0.109910060357373,0.0596570217729566,-0.108880308880309,0.0609461682551294,0.0548207267879711,-0.0522770877546943,0.0270743463418469,0.147435712310362,0.110200904936111,0.136170685387858,0.19876163958314,-0.0737060041407867,-0.0700995514608687,0.125894690731386,0.169844210502389,-0.199811223654993,0.144617414906296,0.0898148324667394,0.161181616270337,0.135726048151937,0.126343759022961,0.211578531674063,0.334664070107108,0.235484969072622
